GREEN,RED,IR
1374530,1617839,1947953
1374310,1617210,1947386
1374310,1616250,1947555
1374374,1615678,1947952
1374373,1615166,1948160
1374545,1614658,1946980
1374552,1613959,1948123
1374424,1613222,1947430
1374200,1612122,1946900
1374181,1611523,1946627
1374179,1610418,1946518
1374363,1609511,1946315
1374077,1608546,1945889
1373964,1607196,1947272
1373856,1606696,1946815
1374018,1606311,1946831
1374038,1605724,1946666
1374227,1605804,1947111
1374137,1605950,1946549
1374163,1605584,1947961
1373800,1605036,1946734
1374109,1604703,1946184
1373771,1603656,1947339
1373738,1602597,1948254
1373970,1602420,1946815
1374006,1601729,1946930
1373801,1601357,1947728
1374058,1600264,1946245
1373820,1599569,1947459
1373718,1599513,1946780
1373669,1599025,1948036
1373525,1597922,1946640
1373374,1594828,1945752
1373436,1592548,1947560
1373392,1590505,1948108
1372696,1590972,1947585
1372692,1591056,1947443
1372529,1590192,1946900
1372342,1589817,1947560
1372293,1588842,1947360
1371962,1588477,1948128
1371430,1587881,1948245
1371790,1587302,1948500
1371689,1587389,1947531
1371775,1586881,1948188
1371603,1586665,1948878
1371593,1586615,1948056
1371272,1586444,1947408
1371304,1586708,1947778
1371281,1586203,1947346
1371207,1585324,1947353
1371399,1584771,1947685
1371349,1584222,1947557
1371092,1584184,1948328
1371233,1584176,1946776
1371215,1584433,1947606
1370876,1584476,1949356
1370456,1584187,1949020
1370456,1584412,1948497
1370575,1584670,1949323
1370543,1584365,1949454
1370690,1584959,1948197
1370489,1584421,1948663
1370264,1584603,1948668
1370395,1584713,1949422
1370007,1584878,1949135
1370337,1583787,1948853
1369848,1583815,1948430
1370065,1584127,1949373
1369924,1584170,1948897
1369690,1584421,1949127
1369588,1584434,1950817
1369947,1585282,1949596
1369743,1584693,1951199
1369355,1585311,1950534
1369841,1585533,1951173
1369708,1585198,1949812
1369666,1584996,1950642
1369538,1584904,1951447
1369312,1585200,1949997
1369103,1585613,1951007
1369279,1585464,1950830
1369376,1585976,1951792
1369294,1586228,1950831
1369236,1586928,1952708
1369204,1587087,1952198
1369308,1587691,1952042
1369413,1588111,1952099
1369572,1588708,1952814
1369779,1589498,1952265
1369809,1590217,1952816
1369617,1590474,1951700
1369546,1590877,1950504
1369681,1591237,1951699
1369206,1591454,1951270
1369440,1591580,1950435
1369630,1592292,1951375
1369453,1592960,1950397
1369582,1593549,1950446
1369401,1593416,1951657
1369485,1593614,1951295
1369424,1593614,1951621
1369438,1593273,1951430
1369518,1592735,1952089
1369562,1594060,1951449
1369608,1594887,1951280
1369356,1594541,1952135
1369480,1594853,1952308
1369549,1594536,1953940
1368944,1594803,1952327
1368837,1594862,1952562
1368618,1594651,1953682
1368537,1593859,1953203
1368395,1592861,1953666
1368110,1594141,1953309
1368292,1596037,1953607
1368022,1596643,1952729
1367705,1596615,1952976
1367912,1596652,1953131
1367686,1596074,1952803
1367720,1595830,1953100
1367835,1595643,1953457
1367809,1595819,1953628
1367494,1596492,1954277
1367342,1596273,1954143
1367326,1596662,1953871
1367305,1596570,1954408
1367420,1596597,1954589
1367456,1596914,1953278
1367161,1596459,1954982
1367154,1596598,1955306
1367284,1597269,1955046
1367249,1597667,1954046
1367560,1598278,1954988
1367453,1598879,1954467
1367467,1598809,1955374
1367357,1598859,1954749
1367368,1599039,1954125
1367272,1599171,1954707
1367056,1598481,1953660
1367100,1598745,1954338
1367235,1598815,1956230
1367302,1598818,1956286
1367407,1598778,1955317
1367069,1599139,1955077
1366752,1599131,1954496
1366802,1598293,1955178
1366914,1597193,1954872
1366900,1597020,1955599
1366891,1596371,1954630
1366813,1595634,1954878
1366890,1595741,1955130
1366844,1596180,1955069
1367051,1596482,1955519
1367221,1596961,1955748
1367166,1597022,1954695
1367081,1596638,1955011
1367110,1596601,1954612
1367178,1596375,1954613
1367276,1595989,1954782
1366982,1595555,1955154
1366982,1594682,1953547
1366732,1593870,1956094
1366771,1592967,1956101
1367030,1592556,1956192
1366949,1591825,1957010
1366931,1590695,1956010
1366967,1589707,1957324
1366888,1589412,1956657
1366770,1588930,1955603
1366833,1588527,1955962
1366819,1588246,1956246
1366818,1587535,1955220
1366739,1587147,1956209
1366942,1586872,1955399
1367015,1586924,1956563
1367188,1586766,1954599
1366969,1586389,1955424
1366852,1585801,1955441
1366786,1585420,1955561
1366700,1584952,1954944
1366606,1584619,1954300
1366444,1584202,1955599
1365979,1583625,1956123
1365979,1583140,1955052
1366164,1582482,1955345
1366181,1582012,1955472
1366153,1581145,1955142
1366019,1580379,1957100
1365862,1580040,1955724
1365839,1579990,1956495
1365753,1579658,1954686
1365653,1579399,1955598
1365765,1579386,1956314
1365561,1578951,1956987
1365710,1578634,1956018
1365712,1579138,1955987
1365740,1577501,1956875
1365242,1575521,1956805
1365438,1574989,1956484
1365545,1574149,1956030
1365579,1573575,1956689
1365203,1572945,1956646
1365070,1572506,1956153
1364796,1571885,1955962
1364795,1570794,1956399
1364999,1570479,1956208
1364820,1570120,1957235
1364821,1569357,1956449
1364723,1567642,1956670
1364975,1566784,1956216
1364896,1566570,1956949
1364691,1565564,1956315
1365025,1565744,1956252
1364731,1565281,1957149
1364799,1564947,1957071
1364798,1564687,1956680
1364563,1564927,1956447
1364930,1564668,1957103
1364574,1564587,1958525
1364765,1563540,1957606
1364667,1562376,1957242
1364962,1563130,1957158
1364932,1563149,1957762
1364831,1560738,1958542
1364819,1560123,1956577
1364788,1559571,1956328
1364878,1558732,1958060
1364779,1558924,1957974
1364620,1559061,1958146
1364192,1559234,1957337
1364422,1558561,1957109
1364571,1558765,1955977
1364373,1558269,1956249
1364191,1557682,1956549
1364058,1557048,1956307
1363820,1557164,1957811
1364120,1557178,1958696
1364022,1557741,1958022
1363870,1556861,1957646
1363617,1556036,1958522
1363604,1556224,1958663
1363813,1555777,1958804
1363894,1555659,1957192
1363536,1555516,1956966
1363416,1555473,1956856
1363188,1555739,1958594
1363391,1556036,1959909
1363269,1555606,1958664
1362985,1554561,1958405
1363294,1554705,1958682
1363186,1554807,1959325
1362703,1555888,1959311
1363078,1556270,1958553
1363130,1556589,1958413
1362851,1557101,1957799
1362838,1557174,1958260
1363114,1556533,1958691
1363141,1556838,1958303
1362865,1556497,1957637
1362686,1556205,1958329
1362895,1555790,1957551
1362865,1555654,1957609
1363102,1557217,1958328
1363078,1559516,1958411
1363092,1561480,1957242
1363294,1561821,1957208
1363611,1561972,1956734
1363259,1562465,1958084
1363199,1562349,1956772
1363117,1561992,1957100
1363277,1561636,1957783
1363211,1560884,1957288
1363074,1560802,1957854
1363197,1560067,1957328
1363082,1559103,1957246
1363200,1557593,1956806
1363331,1556445,1956695
1362934,1555148,1958402
1362701,1554233,1958058
1362863,1553938,1957150
1362648,1553518,1957845
1362394,1552968,1958126
1362286,1553023,1957788
1362658,1553042,1959316
1362266,1553123,1958077
1362404,1554052,1957414
1362007,1554562,1958147
1362330,1553216,1957464
1362184,1551961,1958286
1361992,1551996,1959074
1362082,1552358,1957593
1361972,1552166,1956614
1361963,1552194,1957331
1362098,1552156,1958087
1361894,1552316,1957913
1361764,1552360,1957059
1361779,1552400,1956674
1361848,1552488,1957212
1361665,1552469,1956801
1361588,1552628,1957625
1361670,1553055,1958574
1361518,1553750,1959375
1361785,1554291,1959257
1361946,1554741,1958571
1361779,1554687,1957646
1362039,1553652,1957654
1362026,1552457,1958139
1361663,1550589,1958687
1361926,1550430,1960101
1361788,1550203,1958485
1361721,1550014,1959208
1361590,1549782,1960663
1361717,1549442,1959347
1361646,1549099,1959479
1361776,1548704,1958546
1361637,1548115,1959653
1361652,1547455,1958905
1361450,1546736,1958536
1361498,1546372,1958425
1361733,1546007,1959104
1362087,1545415,1959790
1361767,1544935,1960617
1361707,1543714,1959438
1361653,1543060,1960356
1361740,1542395,1958670
1361680,1541823,1958848
1361647,1541174,1959034
1361206,1540923,1959085
1361206,1540655,1959770
1361532,1540508,1959655
1361595,1540108,1960101
1361540,1539644,1959359
1361363,1538768,1959923
1361429,1538199,1959375
1360980,1536894,1960172
1360979,1536526,1959387
1360692,1536237,1959401
1360659,1535366,1959692
1360359,1534861,1959762
1360294,1533670,1960195
1360369,1532921,1959301
1360309,1532747,1961224
1360291,1532404,1959307
1360260,1532491,1960303
1360307,1532846,1961935
1360311,1533344,1960980
1359883,1533698,1961109
1359855,1533697,1960703
1359925,1534060,1960393
1359944,1533933,1960402
1359890,1533761,1960449
1359979,1533378,1960325
1359468,1532815,1960363
1359568,1532820,1961613
1359540,1532889,1959635
1359689,1533065,1960020
1360014,1532551,1960507
1359813,1533441,1959266
1359680,1533714,1959401
1359543,1533824,1959927
1359533,1532417,1959127
1359451,1532792,1960434
1359479,1532581,1959888
1359281,1533051,1959828
1359291,1534068,1959256
1359081,1534841,1959708
1359681,1534749,1960726
1359287,1534711,1960126
1359103,1534910,1960183
1359233,1534356,1960225
1359292,1534059,1959991
1359388,1535283,1958152
1359468,1536336,1960605
1359578,1534503,1959838
1359429,1534448,1960814
1359497,1534603,1960597
1359405,1534349,1961841
1359584,1534130,1959857
1359502,1533611,1960405
1358990,1533438,1961079
1359519,1533424,1960208
1359331,1534091,1960251
