GREEN,RED,IR
1744332,2010762,1636894
1743741,2010379,1636312
1743741,2009546,1635925
1743583,2009598,1636159
1743566,2009001,1635867
1743489,2009331,1636249
1743440,2008771,1636340
1743538,2008723,1636501
1742960,2009049,1636148
1742773,2009137,1635922
1742782,2009559,1636506
1742734,2009455,1636495
1742857,2010062,1635485
1742488,2009808,1634991
1742400,2009259,1636103
1742377,2009078,1636513
1742696,2009206,1636016
1742756,2008870,1636155
1742550,2008829,1636506
1742525,2008484,1636160
1742395,2008847,1636318
1742507,2008633,1636454
1742419,2009022,1636029
1742237,2008890,1635821
1741852,2009255,1635811
1741852,2008806,1634752
1741928,2009360,1635724
1742048,2009041,1635099
1742234,2009189,1635854
1741859,2008586,1635689
1741869,2008668,1636058
1741759,2008541,1635630
1741747,2008735,1636629
1741829,2009429,1637213
1741662,2009351,1638110
1741439,2009475,1637935
1741357,2009025,1639109
1741302,2009755,1638648
1741456,2009251,1638273
1741688,2010075,1637762
1741463,2010125,1638028
1741433,2010361,1638505
1741472,2010095,1638508
1741091,2010821,1638961
1741212,2010669,1638769
1741203,2011513,1639479
1740735,2010923,1638543
1740735,2011216,1638526
1740834,2011116,1638671
1740801,2010829,1639455
1740970,2010971,1639669
1740678,2010719,1640994
1741002,2010026,1640151
1740784,2010857,1639607
1741088,2011186,1639595
1740875,2010867,1640716
1741057,2010957,1640530
1741034,2010759,1640449
1740967,2010426,1640112
1740723,2009801,1640591
1740969,2010535,1641436
1740884,2010064,1642983
1741281,2010441,1644099
1741106,2010383,1643871
1741313,2010308,1644143
1741170,2009684,1643345
1741228,2010572,1644046
1741387,2010292,1644140
1741277,2010904,1644319
1740736,2010278,1644317
1740736,2010568,1644456
1741127,2009956,1643741
1741237,2010754,1643128
1740945,2010821,1642420
1741146,2010742,1642572
1741108,2010413,1642738
1741261,2010679,1642578
1741229,2011143,1642425
1741045,2010973,1642343
1741246,2011294,1642256
1741144,2010090,1642433
1741004,2009827,1641857
1740687,2009334,1642357
1740809,2009549,1642207
1741091,2009084,1643153
1741068,2009304,1642372
1740811,2008793,1641703
1740743,2009253,1641903
1740556,2008901,1642253
1740429,2009338,1642481
1740415,2009912,1642197
1739979,2010245,1642723
1739979,2009992,1643140
1739791,2010574,1642833
1739878,2010467,1643230
1739725,2011081,1643226
1739810,2010625,1642369
1739790,2010332,1642516
1739705,2010387,1643155
1739452,2010311,1643287
1739465,2010286,1643806
1739659,2010050,1643508
1739430,2010325,1643345
1739307,2009772,1642540
1739081,2010102,1642582
1739156,2010007,1643085
1739487,2010300,1642649
1739483,2010226,1642952
1739494,2010176,1642244
1739274,2009659,1642065
1739507,2009709,1642292
1739117,2009618,1642505
1739034,2010077,1642299
1739126,2009906,1642785
1738877,2010300,1642942
1738877,2010327,1642572
1738858,2010569,1642847
1738886,2010049,1642436
1738806,2010468,1643065
1738779,2009871,1642773
1738665,2009794,1643136
1738599,2010425,1642663
1738490,2010722,1643110
1738613,2010732,1644208
1738465,2011022,1644349
1738743,2010735,1644201
1738387,2010230,1644398
1738347,2009986,1644638
1738410,2010134,1645705
1738306,2010208,1646064
1738588,2010257,1645441
1738564,2010629,1645515
1738364,2010645,1645835
1738455,2011159,1645550
1738460,2011244,1645812
1738366,2011542,1645556
1738115,2012305,1645589
1738115,2012470,1645271
1737842,2012480,1645270
1737925,2012314,1644269
1738016,2012355,1644591
1737995,2012373,1644904
1737942,2012013,1644544
1737935,2012130,1644664
1738182,2012665,1643670
1738135,2012932,1643400
1738404,2013075,1643594
1738579,2013368,1644509
1738592,2013037,1644398
1738291,2013138,1643077
1738342,2013038,1643599
1738599,2013344,1643751
1738631,2013730,1643633
1738519,2013448,1643803
1738664,2013694,1644139
1738789,2013823,1643643
1738721,2013596,1643948
1738770,2013514,1644222
1738643,2013433,1644878
1738346,2013277,1644418
1738346,2012941,1644369
1738345,2012829,1644576
1738348,2012576,1645252
1738377,2012883,1645344
1737961,2012786,1645179
1738119,2012149,1645099
1737865,2012421,1644979
