GREEN,RED,IR
1752353,1530424,1188024
1752070,1530855,1187495
1751466,1530960,1187737
1752217,1530990,1187996
1752116,1530933,1188611
1752325,1532387,1188565
1752151,1531742,1188326
1752324,1530955,1188779
1751740,1530729,1189274
1752532,1530885,1189339
1752526,1531103,1189652
1752795,1532703,1188801
1752752,1531487,1189371
1752745,1531407,1189335
1752434,1531584,1188915
1752880,1531867,1190048
1752750,1532030,1189943
1752953,1533700,1190213
1752509,1532273,1190080
1752509,1531768,1190556
1752522,1530817,1190587
1752617,1530389,1190031
1752573,1529588,1190136
1752577,1530359,1190068
1752154,1529179,1190020
1751580,1528430,1191245
1750749,1527848,1191152
1751175,1527443,1191224
1750933,1527543,1190532
1750805,1528445,1190564
1750598,1527168,1191071
1750243,1526702,1191172
1749564,1526650,1190757
1750155,1526398,1189857
1750214,1526466,1190397
1750112,1527972,1190460
1749846,1526927,1189371
1749891,1526719,1188008
1749415,1526859,1188034
1749816,1526722,1186517
1749575,1526756,1185969
1748948,1527999,1185410
1748948,1526796,1185481
1749114,1526484,1184502
1749053,1526253,1184890
1748752,1526554,1184018
1748694,1526525,1184029
1748919,1527533,1183989
1748539,1526976,1184496
1748168,1526955,1184582
1747822,1526692,1183984
1748237,1526711,1183361
1748103,1526230,1184140
1747923,1527666,1184211
1747889,1525946,1183579
1747635,1525984,1182861
1747034,1525799,1182830
1747532,1525944,1183170
1747712,1526077,1183134
1747567,1527725,1182743
1747643,1526247,1183191
1747463,1525942,1182953
1746742,1526108,1183225
1746953,1526397,1183733
1746556,1526449,1182509
1746556,1528174,1183188
1746688,1527106,1182997
1746677,1527038,1182416
1746631,1526977,1182466
1746716,1527473,1183097
1746695,1527064,1182541
1746419,1527618,1183359
1746317,1527732,1182130
1746333,1527578,1182363
1746373,1527832,1182008
1746398,1527620,1183674
1746225,1528018,1182632
1746176,1527667,1182765
1746208,1528088,1181720
1746620,1528063,1182517
1746810,1528550,1182256
1746484,1528227,1182927
1746517,1528072,1183627
1746797,1527884,1182955
1746508,1528281,1182834
1746659,1528278,1182913
1746386,1528933,1184473
1746386,1528724,1182888
1746106,1529233,1183766
1746255,1529137,1183132
1746448,1529373,1183807
1746425,1529451,1183875
1746229,1529371,1184231
1746084,1529333,1184088
1746615,1529553,1183967
1746380,1530157,1184464
1746568,1530200,1184015
1746568,1530500,1184190
1746703,1530120,1184407
1746343,1530185,1184470
1746514,1530394,1184493
1746599,1530429,1184076
1746985,1530422,1185034
1746928,1530725,1185409
1746888,1530521,1185119
1746796,1530554,1185969
1746941,1531020,1185841
1747170,1531044,1186160
1746935,1531349,1185671
1746962,1531749,1186560
1746962,1531516,1186482
1746921,1531656,1187101
1746797,1532007,1186189
1746956,1532034,1188337
1746939,1531696,1187448
1746990,1531928,1188796
1747230,1532098,1188087
1747315,1532455,1188336
1747214,1532687,1188089
1747331,1532887,1189808
1747483,1532752,1189746
1747513,1532331,1190254
1747298,1532729,1190175
1747517,1532761,1191639
1747755,1533295,1190828
1747927,1533228,1191878
1747630,1533452,1191894
1747863,1533324,1191645
1747917,1533607,1192129
1748041,1534125,1192627
1747904,1534475,1192812
1747921,1534503,1192682
1747921,1534556,1193821
1747745,1534812,1192547
1748111,1534746,1193850
1748086,1535025,1193961
1748072,1535254,1194358
1747984,1535063,1193926
1748202,1535519,1193823
1747910,1535587,1192511
1748045,1535424,1192307
1748009,1534799,1192594
1747851,1533863,1191305
1747657,1532931,1191286
1747503,1532181,1190070
1747214,1531829,1189650
1747283,1530843,1189650
1747280,1530899,1189493
1746993,1530592,1188523
1746719,1530239,1187048
1746562,1529973,1187434
1746348,1530110,1186967
1746274,1529917,1186721
1745913,1530524,1186598
1745739,1530285,1186379
1745739,1530037,1186324
1745612,1530233,1186700
1745986,1530231,1186533
1745812,1529979,1187150
1745663,1529921,1185946
1745542,1530176,1185525
1745476,1530117,1185116
1745165,1530611,1184749
