GREEN,RED,IR
1762102,1743988,1245618
1762337,1744670,1246033
1762545,1744504,1246432
1762393,1745098,1246422
1762445,1746474,1246657
1762512,1746983,1246938
1762994,1746711,1247071
1762893,1747524,1247581
1762941,1747888,1248580
1762920,1747186,1249044
1762974,1747650,1249540
1763082,1747525,1250075
1763236,1747929,1250482
1763624,1747992,1250035
1763912,1748477,1250713
1763937,1748054,1250814
1763897,1748573,1251397
1763993,1748522,1250948
1764226,1749020,1251096
1763769,1749133,1251035
1763769,1749122,1251855
1763681,1748664,1251540
1763660,1748400,1252194
1763634,1748304,1252638
1763808,1748659,1251911
1763786,1748635,1252272
1763604,1749803,1253349
1763612,1751145,1252828
1763482,1751724,1253572
1763590,1752466,1253880
1763405,1752883,1254022
1763448,1753550,1254045
1763032,1753180,1254299
1763523,1753739,1254637
1763363,1753811,1254990
1763874,1753908,1255568
1763703,1753325,1255092
1763630,1753416,1256104
1763377,1752942,1255735
1763456,1753314,1256783
1763705,1753505,1256884
1763264,1754044,1256825
1762743,1754083,1256758
1762743,1754305,1257600
1762911,1754060,1257890
1763038,1754478,1257780
1763185,1754186,1256978
1762894,1754428,1256864
1763106,1754352,1256163
1762869,1754769,1255134
1762886,1755185,1252517
1762746,1755084,1251289
1762839,1755299,1249324
1762937,1754838,1247329
1762849,1754697,1244997
1762416,1754217,1244414
1762661,1754401,1243518
1762806,1754409,1243347
1763081,1754987,1242868
1762757,1755147,1243332
1762926,1755276,1243049
1762771,1755685,1242244
1763117,1756172,1243378
1762760,1756722,1243188
1762667,1757051,1242672
1762667,1757038,1242803
1762712,1757114,1243321
1762863,1757481,1243871
1762691,1758003,1243740
1762924,1757942,1243874
1763100,1757824,1244207
1763163,1757991,1243780
1762967,1758270,1244096
1763346,1758040,1243945
1763516,1758646,1244194
1763841,1759558,1244814
1764068,1760494,1245229
1764517,1760279,1245399
1764416,1760223,1244945
1764518,1760424,1245105
1764486,1760441,1245005
1764495,1760738,1245182
1764520,1760796,1245232
1764524,1760726,1244922
1764466,1760585,1245931
1764593,1760415,1245411
1764458,1760401,1244876
1764660,1760492,1245939
1764332,1760128,1246126
1764354,1760159,1246418
1764465,1760348,1246319
1764865,1760470,1246760
1764816,1760318,1247118
1764681,1760003,1248660
1764519,1759633,1248107
1764572,1759524,1248420
1764268,1759409,1248519
1763933,1759515,1249344
1763659,1759308,1249524
1763585,1759229,1250377
1763585,1758748,1250037
1763560,1758533,1250538
1763469,1758496,1250324
1763430,1758039,1250803
1763210,1757493,1251514
1762972,1757212,1252146
1762911,1757192,1252120
1762963,1757258,1252508
1762798,1757245,1252670
1762413,1757182,1252638
1762382,1756893,1253470
1762279,1756955,1253601
1762396,1757024,1253559
1762451,1757233,1254417
1762621,1757513,1254213
1762579,1757729,1254248
1762327,1757643,1254510
1762214,1757773,1255023
1761844,1757827,1254554
1762033,1757428,1256052
1761828,1757530,1256268
1761478,1757627,1256407
1761478,1757635,1256958
1761565,1758077,1257497
1761558,1757827,1257513
1761545,1758145,1257644
1761613,1758088,1258083
1761474,1757606,1258616
1761206,1757864,1259590
1761302,1757721,1259546
1761120,1757853,1260393
1761090,1758015,1260180
1761158,1758011,1260794
1761133,1757821,1260511
1761089,1757978,1261989
1761237,1757935,1261517
1761473,1758168,1262202
1761469,1758070,1262205
1761421,1758359,1261984
1761521,1757998,1261390
1761398,1758747,1260456
1761556,1759114,1258987
1761636,1759584,1257349
1761258,1759660,1255555
1761258,1759591,1251801
1761371,1759687,1250367
1761410,1759613,1248856
1761443,1759544,1247434
1761440,1759998,1247469
1761569,1759846,1247110
1761660,1760039,1246727
1761642,1760640,1245853
1761750,1760315,1245948
1761688,1760565,1246114
1761754,1760246,1245652
1761834,1759945,1245386
1761486,1759804,1246140
1761929,1760393,1246645
1762097,1760672,1247166
1762333,1761228,1247418
1762369,1761114,1246757
1762353,1761383,1247905
1762268,1761066,1247454
1762599,1761538,1248006
1762477,1761614,1247325
1761948,1761871,1248250
1761548,1761513,1247607
1761548,1761699,1248402
1761846,1761291,1248259
1761603,1761368,1248246
1761653,1761092,1248571
1761501,1760737,1248249
1761280,1760248,1248168
1761024,1760425,1248028
1760638,1760755,1248694
1760568,1760730,1248159
1760604,1760976,1248411
1760381,1760759,1248420
1760185,1760841,1248886
1759742,1760860,1249665
1759971,1761169,1250116
1759962,1761159,1250642
1760238,1761406,1250667
1759632,1761369,1252037
1759986,1761369,1252543
1759601,1761617,1252026
1759701,1761751,1251779
1759271,1762066,1253008
1758816,1762312,1253031
1758816,1761974,1253541
1758717,1762141,1254520
1758816,1761988,1254890
1758582,1762234,1254865
1758410,1762062,1254875
1758354,1761959,1254880
1758187,1762346,1256321
1758008,1762087,1256270
1757981,1762070,1256366
1757721,1761270,1256394
1757293,1760529,1256843
1757286,1759819,1257270
1756505,1758069,1257853
1756061,1757149,1257942
1755940,1757156,1258979
1755865,1756506,1258730
1755765,1756437,1259662
1755708,1755922,1260112
1755874,1756479,1259923
1755000,1756165,1259998
1755070,1755878,1260312
1755084,1755757,1260982
1755055,1755707,1261568
1754907,1755380,1261837
1754468,1754997,1261926
1754537,1754539,1262434
1754557,1754817,1262804
1754456,1754748,1263413
1754964,1754823,1263942
1754824,1754618,1264174
1754643,1754806,1264581
1754617,1754696,1265264
1754875,1754937,1265139
1754672,1754986,1265576
1754664,1755569,1266694
1754233,1755844,1267956
1754233,1756067,1267970
1754497,1755943,1267774
1754243,1756418,1268603
1754513,1756648,1269189
1754230,1756740,1269157
1754496,1756106,1269117
1754094,1756014,1269710
1754039,1756197,1269643
1753861,1755981,1269562
1753816,1756022,1268911
1753571,1755880,1267781
1753547,1755216,1265884
1753027,1754780,1264163
1753144,1754490,1262674
1752790,1754352,1261760
1753170,1754017,1259657
1752920,1753724,1259168
1752872,1753507,1258506
1752835,1753219,1257839
1752332,1753333,1257922
1752096,1752849,1258446
1751861,1752630,1258619
1751270,1752244,1259250
1751270,1751723,1259457
1751315,1751319,1259477
1750937,1751310,1259169
1750849,1750965,1259665
1750625,1750470,1260428
1750264,1750069,1261113
1750156,1750653,1260822
1749723,1750700,1261368
1749835,1750699,1261990
1749591,1750441,1262558
1749322,1750574,1262939
1749409,1750725,1263893
1749178,1750138,1264077
1748873,1750159,1264226
1748820,1750100,1264631
1748784,1749910,1264959
1748829,1750105,1265514
1748727,1750017,1265447
1748686,1749738,1265274
1748414,1749732,1266009
1748434,1749737,1266310
1748299,1749906,1267132
1747891,1750058,1267582
1747551,1749704,1267979
1747551,1749547,1268381
1747515,1749352,1268396
1747528,1749234,1268683
1747658,1749093,1268832
1747321,1748402,1269556
1747345,1748423,1270068
1747011,1748449,1270307
1746845,1748372,1270985
1747065,1748535,1273076
1746885,1748374,1273370
1746886,1748689,1273637
1746895,1748476,1274568
1746936,1748328,1275372
1746652,1748672,1275621
1746700,1748625,1276622
1746824,1748721,1277103
1747000,1748813,1277527
1746946,1748815,1279054
1746917,1748577,1280350
1747005,1749040,1280557
1747057,1749087,1282154
1746505,1748641,1283376
1747012,1748910,1283565
1747032,1749138,1283869
1747388,1749168,1284278
1746877,1749716,1285174
1746576,1749364,1285211
1746599,1749409,1285289
1746108,1748229,1285853
1745827,1747246,1287053
1745221,1745908,1287058
1744885,1745670,1286857
1744210,1745505,1287283
1743921,1745948,1287393
1743741,1746460,1286888
1744043,1746643,1288138
1743907,1747095,1288202
1743417,1747401,1288459
1743335,1747090,1288699
1743355,1747117,1288505
1743251,1746786,1288321
1743297,1746678,1289167
1743042,1745972,1288718
1742673,1745495,1289137
1742461,1744695,1289839
1742387,1744453,1289415
1742201,1743671,1289037
1742223,1743290,1289384
1741903,1742664,1289892
1741895,1742171,1290239
1741564,1741778,1289794
1741507,1741883,1289438
1741349,1742209,1288308
1740954,1742594,1288011
1740590,1742647,1284746
1740590,1743655,1282415
1740574,1743382,1280405
1740795,1744407,1278774
1741006,1744424,1276811
1740799,1744674,1276126
1740629,1745701,1275234
1740536,1746043,1274508
1740664,1746454,1273769
1740812,1746488,1273438
1740873,1746588,1273437
1740678,1746031,1273446
1740419,1745862,1272906
1740603,1745444,1271857
1740744,1745280,1272019
1740906,1744508,1271924
1740921,1744158,1272175
1740708,1743603,1271606
1740589,1743241,1271538
1740603,1743034,1271464
1740598,1743014,1272111
1740435,1743014,1271460
1740166,1743282,1271088
1740166,1743095,1271323
1740141,1743231,1271120
1740257,1742732,1270632
1740150,1743210,1270517
1740093,1742877,1271338
1740060,1743017,1270956
1740400,1743863,1270640
1740274,1743737,1269996
1740357,1744183,1269375
1740329,1744237,1268884
1740516,1744440,1268388
1740352,1744054,1268535
1740446,1744587,1268354
1740373,1744194,1267971
1740611,1744446,1267867
1740611,1743963,1268485
1740539,1744075,1268791
1740510,1743413,1268484
1740327,1743625,1268540
1740094,1743101,1268443
1740169,1743446,1268533
1739750,1743099,1269154
1739489,1742863,1268782
1739489,1742104,1269446
1739286,1741940,1269941
1739220,1741318,1270258
1739032,1741145,1270090
1738879,1740187,1271110
1738593,1740104,1270800
1738050,1739802,1271867
1737936,1739662,1271205
1737839,1739928,1271932
1737343,1739434,1272082
1737151,1739289,1272529
1736747,1739277,1272846
1736905,1739317,1272475
1736722,1739156,1273072
1737020,1739356,1272869
1736893,1739047,1273251
1736790,1738754,1274242
1736332,1738266,1273598
1736357,1738185,1273098
1736218,1737866,1273990
1735933,1738183,1274593
1735933,1737401,1274039
1735404,1737603,1274365
1735494,1736926,1275063
1735476,1736823,1274361
1735494,1736541,1275763
1735124,1735951,1275694
1735050,1735742,1275757
1734949,1735770,1276210
1734821,1735856,1276555
1734474,1735900,1276736
1734557,1736080,1276794
1734291,1735625,1276928
1734110,1735329,1277827
1734253,1735524,1277676
1734501,1735591,1278413
1734432,1735431,1277729
1734653,1735587,1278013
1734511,1735192,1278454
1734593,1734973,1279250
1734400,1735132,1278624
1734218,1734974,1277221
1734527,1734708,1276138
1734162,1734783,1274385
1734162,1734030,1270851
1734087,1733373,1268081
1734085,1733005,1267460
1734047,1733078,1265759
1734117,1732483,1264020
1734132,1732014,1263137
1734276,1731906,1262284
1733910,1731615,1261947
1733968,1731319,1261347
1734109,1731036,1261555
1734061,1730919,1261436
1733884,1730125,1261250
1734051,1729856,1261946
1734040,1729685,1261694
1734181,1729457,1262003
1734199,1729053,1262172
1734343,1728846,1262115
1734269,1728229,1262177
1734201,1727975,1262590
1734147,1727572,1262765
1734126,1727853,1262884
1733907,1727282,1263117
1733907,1726526,1262878
1733883,1725895,1263584
1733959,1725218,1263666
1734046,1724855,1263448
1734023,1723913,1263248
1734322,1723241,1263150
1733979,1722865,1263096
1734208,1722917,1262733
1734298,1723173,1262256
1734348,1722972,1262452
