GREEN,RED,IR
1393387,1423189,1872522
1393451,1422520,1872887
1393533,1422487,1871647
1393715,1422539,1873333
1393885,1422801,1872394
1393693,1423239,1872108
1393830,1423594,1872205
1393866,1424004,1871830
1394166,1424088,1871142
1394968,1423920,1871436
1394396,1424225,1870660
1394125,1424423,1869772
1394399,1424195,1870294
1394395,1424574,1873301
1394862,1424814,1868887
1394823,1424904,1868804
1394676,1425150,1869217
1394882,1423885,1868910
1394993,1423941,1869063
1395928,1423991,1869378
1395542,1424094,1869748
1395577,1424545,1868601
1395831,1424331,1871614
1395623,1424097,1871214
1395624,1424313,1869233
1395935,1424227,1869873
1396178,1424721,1868675
1396138,1425537,1868572
1396001,1426336,1869925
1396001,1428054,1870139
1397055,1429796,1870884
1396579,1431893,1871459
1396731,1433665,1871468
1396943,1435152,1870530
1396980,1436308,1870482
1397832,1438785,1870503
1397792,1438969,1869582
1398076,1439228,1868493
1398431,1439460,1868877
1398130,1439027,1871103
1398154,1438515,1870996
1397969,1437648,1870514
1398046,1436796,1870819
1398208,1436492,1869119
1398214,1436515,1869055
1398022,1436268,1870527
1397755,1436180,1870257
1397819,1436444,1870944
1397342,1436665,1870817
1397483,1437171,1870467
1397192,1437846,1871502
1397097,1438423,1871086
1397097,1439015,1871069
1397046,1439479,1870090
1397073,1439790,1869464
1396945,1440421,1870908
1396885,1440425,1870973
1396715,1441066,1870564
1396549,1442635,1870267
1396575,1443168,1870694
1396500,1443186,1870636
1396405,1443431,1871303
1396358,1443413,1870442
1396216,1443135,1872008
1396278,1442850,1871245
1396422,1442625,1871423
1396295,1441944,1871091
1396365,1440733,1871261
1396459,1440840,1870358
1395980,1441572,1869941
1396195,1441980,1869640
1396208,1442400,1871520
1396121,1443311,1871558
1395748,1444099,1871301
1395900,1444792,1870738
1396129,1445320,1870794
1396255,1445754,1870305
1396059,1446123,1870437
1396285,1445510,1869732
1395939,1446211,1870614
1396322,1447264,1871133
1396565,1447597,1872046
1396796,1448113,1869984
1396925,1448422,1869943
1397013,1448632,1871427
1397003,1448872,1870201
1396970,1449464,1870214
1397237,1449740,1873527
1397173,1450466,1872155
1397012,1450812,1874271
1396993,1451150,1872223
1397207,1451367,1871909
1397706,1451418,1870683
1397857,1451434,1872204
1397879,1451485,1870757
