Initializing AFE4404...
Initialized Success!
PD3:1599819
PD3:1597678
PD3:1594071
PD3:1590995
PD3:1587514
PD3:1584455
PD3:1582582
PD3:1582575
PD3:1583201
PD3:1585822
PD3:1587661
PD3:1589659
PD3:1589697
PD3:1588241
PD3:1585347
PD3:1584419
PD3:1582806
PD3:1581205
PD3:1579891
PD3:1578274
PD3:1577305
PD3:1575698
PD3:1574449
PD3:1573965
PD3:1574787
PD3:1574210
PD3:1576055
PD3:1576228
PD3:1577698
PD3:1578290
PD3:1579965
PD3:1579826
PD3:1582463
PD3:1584224
PD3:1586991
PD3:1589749
PD3:1593222
PD3:1595488
PD3:1598096
PD3:1599735
PD3:1601153
PD3:1601800
PD3:1602181
PD3:1603301
PD3:1604296
PD3:1605528
PD3:1605249
PD3:1604814
PD3:1602553
PD3:1600627
PD3:1597645
PD3:1594790
PD3:1591766
PD3:1588299
PD3:1584319
PD3:1581785
PD3:1581547
PD3:1582229
PD3:1581422
PD3:1581907
PD3:1582175
PD3:1582151
PD3:1583367
PD3:1584039
PD3:1585330
PD3:1584990
PD3:1585601
PD3:1585062
PD3:1585524
PD3:1585853
PD3:1585840
PD3:1585445
PD3:1586568
PD3:1588037
PD3:1590307
PD3:1592560
PD3:1594619
PD3:1595811
PD3:1597572
PD3:1598749
PD3:1599376
PD3:1600370
PD3:1601994
PD3:1602416
PD3:1602625
PD3:1602898
PD3:1603411
PD3:1604779
PD3:1605747
PD3:1608363
PD3:1610505
PD3:1612436
PD3:1614621
PD3:1616165
PD3:1617888
PD3:1618903
PD3:1620065
PD3:1620194
PD3:1620285
PD3:1620545
PD3:1620847
PD3:1620918
PD3:1619485
PD3:1619327
PD3:1618490
PD3:1616765
PD3:1615082
PD3:1615492
PD3:1615455
PD3:1614925
PD3:1615330
PD3:1614780
PD3:1614974
PD3:1616238
PD3:1616068
PD3:1616166
PD3:1616617
PD3:1616267
PD3:1616343
PD3:1616629
PD3:1615660
PD3:1615250
PD3:1615594
PD3:1614342
PD3:1612041
PD3:1609233
PD3:1603764
PD3:1599788
PD3:1593950
PD3:1585715
PD3:1583073
PD3:1580542
PD3:1579579
PD3:1579393
PD3:1578269
PD3:1577756
PD3:1577449
PD3:1574685
PD3:1573311
PD3:1571547
PD3:1570957
PD3:1569463
PD3:1569699
PD3:1569423
PD3:1570727
PD3:1570594
PD3:1572036
PD3:1571750
PD3:1573299
PD3:1574286
PD3:1577635
PD3:1579492
PD3:1580412
PD3:1581375
PD3:1581869
PD3:1582758
PD3:1583272
PD3:1584362
PD3:1585166
PD3:1584965
PD3:1584119
PD3:1585040
PD3:1583836
PD3:1584910
PD3:1582861
PD3:1582313
PD3:1582308
PD3:1582493
PD3:1582017
PD3:1581308
PD3:1580809
PD3:1582674
PD3:1582724
PD3:1584401
PD3:1586120
PD3:1587350
PD3:1588621
PD3:1588016
PD3:1588335
PD3:1587600
PD3:1588825
PD3:1586212
PD3:1586598
PD3:1586288
PD3:1584665
PD3:1581736
PD3:1578939
PD3:1574684
PD3:1572697
