Device connected: 51:d1:fb:c1:55:16
MTU changed to 255 for device 51:d1:fb:c1:55:16
Initializing AFE4404...
Initialized Success!
PD3:1153890
PD3:1156175
PD3:1156381
PD3:1156381
PD3:1157306
PD3:1157886
PD3:1158767
PD3:1159779
PD3:1160462
PD3:1162035
PD3:1163711
PD3:1165209
PD3:1166719
PD3:1167692
PD3:1169332
PD3:1170731
PD3:1171171
PD3:1172138
PD3:1172669
PD3:1173183
PD3:1173518
PD3:1173981
PD3:1174676
PD3:1176636
PD3:1179624
PD3:1187691
PD3:1191381
PD3:1195281
PD3:1197379
PD3:1199495
PD3:1202585
PD3:1203869
PD3:1205119
PD3:1206370
PD3:1207438
PD3:1207734
PD3:1208840
PD3:1210423
PD3:1210560
PD3:1210986
PD3:1211165
PD3:1212199
PD3:1212803
PD3:1213339
PD3:1212567
PD3:1211270
PD3:1211567
PD3:1211053
PD3:1210418
PD3:1207993
PD3:1206717
PD3:1205120
PD3:1203791
PD3:1202721
PD3:1201853
PD3:1201174
PD3:1199662
PD3:1198820
PD3:1198351
PD3:1197776
PD3:1197374
PD3:1197653
PD3:1198006
PD3:1196545
PD3:1197119
PD3:1197669
PD3:1197242
PD3:1196760
PD3:1197166
PD3:1198048
PD3:1199273
PD3:1199531
PD3:1199742
PD3:1200298
PD3:1200333
PD3:1200411
PD3:1202196
PD3:1202341
PD3:1202514
PD3:1203066
PD3:1202960
PD3:1204262
PD3:1204135
PD3:1204378
PD3:1204228
PD3:1204001
PD3:1203187
PD3:1202228
PD3:1201719
PD3:1200679
PD3:1201044
PD3:1200118
PD3:1200454
PD3:1201030
PD3:1200426
PD3:1200509
PD3:1200816
PD3:1202073
PD3:1203176
PD3:1204318
PD3:1204684
PD3:1205536
PD3:1205427
PD3:1203958
PD3:1203167
PD3:1201926
PD3:1200683
PD3:1199113
PD3:1196362
PD3:1195185
PD3:1192403
PD3:1190436
PD3:1189270
PD3:1188670
PD3:1188715
PD3:1188354
PD3:1188351
PD3:1188269
PD3:1188379
PD3:1187768
PD3:1188670
PD3:1189711
PD3:1189768
PD3:1191503
PD3:1192647
PD3:1193184
PD3:1195042
PD3:1197761
PD3:1198879
PD3:1200172
PD3:1201810
PD3:1202454
PD3:1203395
PD3:1202813
PD3:1202490
PD3:1202061
PD3:1201634
PD3:1198657
PD3:1196934
PD3:1196197
PD3:1194449
PD3:1194375
PD3:1193411
PD3:1193091
PD3:1192713
PD3:1192532
PD3:1192039
PD3:1191188
PD3:1190468
PD3:1191135
PD3:1190896
PD3:1190759
PD3:1191589
PD3:1192578
PD3:1193388
PD3:1193421
PD3:1192936
PD3:1192580
PD3:1191274
PD3:1192237
PD3:1192201
PD3:1190905
PD3:1191259
PD3:1190699
PD3:1190623
PD3:1191036
PD3:1192137
PD3:1193236
PD3:1194968
PD3:1195030
PD3:1196110
PD3:1196849
PD3:1197344
PD3:1197245
PD3:1197021
PD3:1197831
PD3:1197889
PD3:1197492
PD3:1197562
PD3:1199116
PD3:1199604
PD3:1199643
PD3:1199333
PD3:1197421
PD3:1195575
PD3:1194002
PD3:1190190
PD3:1188621
PD3:1184886
PD3:1183045
PD3:1181064
PD3:1179797
PD3:1180441
PD3:1181773
PD3:1182657
PD3:1183267
PD3:1184526
PD3:1184727
PD3:1187040
PD3:1188017
PD3:1189092
PD3:1190818
PD3:1192816
PD3:1193892
PD3:1193152
PD3:1194150
PD3:1193980
PD3:1193683
PD3:1193729
PD3:1193747
PD3:1193436
PD3:1192227
PD3:1192041
PD3:1191577
PD3:1191374
PD3:1190668
PD3:1189445
PD3:1188102
PD3:1187711
PD3:1186531
PD3:1184676
PD3:1183630
PD3:1182742
PD3:1180753
PD3:1179544
PD3:1178269
PD3:1175197
PD3:1174228
PD3:1172941
PD3:1173041
PD3:1172307
PD3:1172966
PD3:1173260
PD3:1174980
PD3:1174647
PD3:1175890
PD3:1175533
PD3:1176392
PD3:1176728
PD3:1177501
PD3:1177306
PD3:1176964
PD3:1176694
PD3:1176653
PD3:1175480
PD3:1175143
PD3:1175285
PD3:1174418
PD3:1173288
PD3:1173621
PD3:1173768
PD3:1174255
PD3:1174624
PD3:1176034
PD3:1177526
PD3:1179871
PD3:1182117
PD3:1183575
PD3:1184687
PD3:1185830
PD3:1185622
PD3:1184420
PD3:1182173
PD3:1180828
PD3:1180085
PD3:1178848
PD3:1176943
PD3:1176229
PD3:1174190
PD3:1172691
PD3:1171160
PD3:1170642
PD3:1171335
PD3:1172801
PD3:1174703
PD3:1175126
PD3:1176849
PD3:1177931
PD3:1177783
PD3:1178677
PD3:1179766
PD3:1180137
PD3:1179721
PD3:1180076
