GREEN,RED,IR
1788719,1135550,1178848
1788219,1135302,1176943
1787919,1134324,1176229
1787346,1133979,1174190
1786929,1133570,1172691
1786062,1134570,1171160
1785668,1136091,1170642
1785021,1138616,1171335
1784706,1141676,1172801
1784513,1145839,1174703
1784190,1149700,1175126
1784088,1153361,1176849
1784942,1156760,1177931
1787236,1156861,1177783
1788850,1152544,1178677
1789002,1152442,1179766
1788988,1152162,1180137
1788919,1152338,1179721
1788821,1153050,1180076
1787773,1154541,1179780
1787748,1156695,1180243
1787871,1159533,1181596
1788466,1161186,1181749
1789042,1160592,1182449
1789808,1158455,1183275
1789874,1155465,1184366
1789978,1152389,1185900
1789480,1146866,1187482
1791011,1143388,1187536
1789929,1138457,1188137
1789770,1139999,1188139
1790153,1139861,1189894
1790786,1138825,1190795
1791478,1137343,1190392
1791748,1135052,1191710
1792177,1132594,1193062
1792422,1130530,1194222
1792598,1128815,1195062
1793070,1127580,1196446
1793563,1125329,1198256
1793736,1123368,1199913
1794036,1121897,1201764
1794576,1120773,1202311
1795456,1119271,1203916
1796204,1117269,1204266
1796572,1115727,1202835
1797173,1114183,1202285
1796842,1113092,1202375
1797908,1112243,1201764
1816631,1099656,1199116
1825263,1093764,1198534
1832694,1086389,1197559
1839611,1079980,1196435
1852516,1074528,1195554
1884576,1067145,1194500
1931114,1058210,1193895
1958901,1051005,1193308
1968511,1044255,1193468
1969475,1039994,1193245
1966137,1037334,1193881
1960337,1035572,1193040
1952202,1034787,1193872
1946888,1036080,1194006
1944219,1034632,1193440
1944185,1033742,1193119
1944920,1032530,1193073
1949982,1030819,1193050
1955108,1029149,1192641
1959310,1028721,1192109
1960264,1025737,1191939
1959987,1024711,1191127
1959987,1023728,1189776
1957778,1023376,1188892
1959379,1023045,1187033
1955795,1024808,1184802
1948418,1024205,1182412
1934192,1025754,1180169
1911892,1029083,1178611
1894123,1034298,1176695
1882548,1040591,1175370
1875360,1046814,1174246
1870317,1049463,1173009
1868525,1052440,1173599
1865671,1053696,1173629
1864643,1054272,1172614
1862620,1054731,1171372
1861380,1056202,1170216
1859961,1056257,1170615
1858495,1056800,1171827
1854142,1057050,1172080
1851902,1058458,1172349
1848398,1060373,1173321
1843683,1068045,1173464
1849316,1059908,1174388
1850036,1057560,1175498
1849259,1056005,1176502
1846853,1056606,1177310
1843039,1061524,1179020
1833976,1065906,1179104
1826988,1072085,1179925
1820057,1080231,1179351
1813717,1089374,1178734
1812888,1107308,1177582
1818017,1103788,1177029
1823330,1097123,1176986
1830895,1087798,1177211
1835298,1077521,1177538
1834326,1075825,1177537
1832045,1075702,1176466
1828811,1078581,1175891
1830176,1083912,1175193
1830782,1083036,1174340
1832410,1081495,1173712
1834205,1078513,1174188
1835059,1075873,1173747
1834628,1072755,1174655
1834046,1071585,1176822
1834323,1069872,1177421
1832425,1064004,1178417
1832811,1060500,1179638
1830852,1059538,1181557
1830024,1060191,1181912
1828605,1061225,1182708
1826325,1063221,1183089
1824793,1066664,1183540
1823540,1069738,1185147
1822567,1072534,1186567
1820649,1074408,1187681
1819015,1077828,1189233
1817675,1080999,1191309
1816605,1085050,1192725
1815614,1087893,1195125
1815351,1090869,1197037
1815567,1092495,1200182
1815989,1093769,1200770
1816356,1094295,1202899
1817181,1094951,1205271
1817912,1094201,1206955
1819086,1093733,1209187
1820703,1091427,1209663
1822136,1088867,1209454
1822576,1085879,1209918
1821733,1084085,1209868
1821733,1082828,1208571
1820572,1083863,1207868
1818637,1085761,1207002
1816797,1089282,1204921
1814204,1093151,1203095
1811406,1098359,1200292
1808990,1103138,1198379
1807497,1109019,1196425
1807548,1110863,1195587
1808696,1111468,1193801
1810154,1111058,1191889
1811665,1107800,1191399
1812406,1104722,1191240
1814005,1099137,1190195
1813676,1097214,1189672
1817147,1094856,1189252
1820482,1088685,1189792
1820651,1087459,1188876
1819960,1087214,1188235
1819285,1087484,1186981
1819404,1088439,1186140
1820050,1088468,1185538
1821646,1087489,1185834
1823872,1081805,1186380
1828679,1078313,1185797
1830883,1074883,1185217
1832162,1071208,1184787
1831511,1068779,1183426
1829858,1067980,1182138
1828345,1069309,1181003
1826205,1070643,1180287
1822839,1072981,1178423
1819020,1075962,1175496
1814648,1080556,1172881
1804889,1096584,1170869
1803711,1106346,1168437
1805628,1104921,1165137
1806460,1101667,1162568
1807357,1096038,1159845
1806668,1094686,1158402
1805712,1095058,1156166
1804863,1100172,1154275
1801730,1104223,1154176
1801180,1108797,1152913
1802206,1111178,1152583
1807041,1105133,1151914
1807750,1100967,1151338
1806393,1103242,1149971
1807069,1103269,1149568
1807286,1102369,1149096
1807477,1101606,1149539
1807430,1100918,1150826
1806474,1100876,1152478
1805131,1104819,1153931
1800025,1109152,1154681
1798913,1114323,1156055
