GREEN,RED,IR
1684762,1494484,1562752
1684993,1494367,1562301
1684736,1493882,1563288
1684414,1492989,1563593
1683849,1492093,1564851
1683530,1491779,1565218
1683056,1491031,1564397
1682543,1490272,1564123
1681551,1489399,1563015
1681035,1488618,1561998
1680306,1488271,1560651
1679738,1487967,1560004
1679021,1487974,1557715
1678250,1488126,1555596
1678250,1488017,1552969
1677863,1488103,1550402
1677681,1488370,1549185
1677064,1488238,1547928
1677147,1488495,1546091
1677037,1488664,1547144
1676760,1489455,1544038
1676843,1489746,1543641
1677035,1489757,1543444
1677244,1490546,1545490
1677132,1490516,1543993
1677055,1490724,1543880
1677060,1491178,1544490
1677426,1491104,1544014
1677489,1491435,1543652
1677768,1491734,1544565
1677742,1491809,1545860
1677761,1491628,1546245
1677574,1491685,1546667
1677251,1491711,1548089
1677440,1492186,1548366
1677114,1492099,1549480
1677114,1491968,1549859
1676948,1492055,1550339
1677173,1491792,1550945
1677158,1491811,1551128
1676847,1491601,1551450
1676641,1491331,1552263
1676555,1491122,1552425
1676570,1491937,1553186
1676424,1492037,1552646
1676390,1492338,1552677
1676325,1492629,1552452
1676324,1492321,1552304
1676137,1492630,1551919
1676165,1492930,1552110
1676223,1493127,1550879
1676475,1493273,1552297
1676403,1493628,1551932
1676542,1493706,1552862
1676480,1493772,1553500
1676784,1494084,1553772
1676695,1494221,1554241
1676896,1494416,1553515
1676544,1494697,1553293
1676544,1494948,1554440
1676570,1494938,1555738
1676616,1495278,1555786
1676666,1495579,1555298
1676598,1495586,1555925
1676627,1495668,1555779
1676823,1495982,1555916
1676478,1496326,1555675
1676802,1496697,1555066
1677193,1496747,1554790
1677243,1496800,1555388
1677221,1496638,1555688
1677330,1496880,1555933
1677426,1497042,1556119
1677818,1497137,1557148
1677920,1497406,1557711
1677830,1497397,1557176
1678286,1497402,1558223
1678165,1497957,1557324
1678324,1497947,1558012
1678578,1498278,1558511
1678302,1498309,1558778
1678302,1498474,1558854
1678500,1497951,1559361
1678478,1497414,1560255
1678450,1497084,1560446
1678209,1496441,1560027
1677675,1495384,1560526
1676370,1494017,1560374
1675650,1493470,1560918
1675049,1492787,1560399
1674392,1492258,1560004
1673723,1491816,1561076
1673187,1491205,1562307
1672927,1490758,1562484
1672553,1490617,1561988
1672263,1490582,1562676
1672274,1490536,1563076
1671976,1490609,1562766
1671481,1490590,1562894
1671141,1490659,1562986
1671275,1491078,1562987
1670986,1491514,1563594
1670737,1491925,1563468
1670737,1491953,1563565
1670621,1492440,1563170
