GREEN,RED,IR
1357299,1808433,1653741
1357245,1808073,1654016
1357403,1808296,1653619
1357637,1808154,1654286
1357645,1807396,1654047
1357720,1807447,1654040
1357181,1807326,1653275
1357859,1807438,1653627
1357853,1807506,1653535
1357596,1807790,1653543
1358035,1807461,1654083
1357767,1807555,1654457
1358081,1807888,1654248
1358012,1807716,1654350
1358257,1807458,1653813
1358442,1808083,1654115
1358344,1807568,1653777
1358385,1807470,1653267
1358544,1807704,1652965
1358647,1807638,1653267
1358419,1807888,1653430
1358258,1807728,1653794
1358418,1807808,1653059
1358638,1807779,1653198
1358718,1807694,1652742
1358610,1807641,1652760
1358893,1807417,1653464
1359045,1807428,1652668
1358815,1806677,1652526
1359079,1806975,1652926
1359130,1806489,1652145
1359188,1806683,1652882
1359161,1806173,1653125
1358879,1805852,1653499
1358863,1805708,1653088
1358841,1805969,1653522
1358815,1806276,1653766
1358795,1806341,1654078
1358944,1805930,1654373
1359175,1806062,1653835
1358910,1805789,1653762
1359109,1805942,1653621
1358603,1805794,1653818
1358802,1805803,1654821
1359103,1805853,1654353
1358966,1805665,1654348
1359290,1805352,1653943
1359201,1805495,1653947
1359331,1805836,1654483
1359141,1805090,1655161
1359384,1805229,1654679
1359560,1805364,1654565
1359278,1805609,1654882
1359029,1805702,1654995
1359576,1805318,1655552
1359372,1805241,1655253
1359289,1805457,1655396
1359314,1805209,1655085
1359368,1804920,1654905
1359440,1805222,1654801
1359471,1805022,1654034
1359501,1804823,1654454
1359839,1804901,1653619
1359833,1804799,1653644
1359890,1804871,1653869
1360047,1804779,1654681
1360127,1804934,1654817
1360216,1804772,1654811
1360182,1805090,1654561
1359904,1805423,1654419
1359838,1805303,1653939
1360163,1805157,1654934
1360109,1805221,1654115
1360271,1805249,1653378
1360375,1804948,1653657
1360205,1804608,1654040
1359970,1804651,1654233
1360377,1804461,1654586
1360464,1804649,1654516
1360529,1804325,1654918
1360476,1804683,1654796
1360752,1804056,1654867
1360181,1804223,1655018
1360511,1804210,1654719
1360503,1804288,1654507
1360382,1804006,1654279
1360382,1803645,1654204
1360207,1803679,1654926
1360065,1803434,1655065
1360726,1803586,1654830
1360406,1803953,1654419
1360121,1803217,1653516
1359901,1803526,1652997
1360033,1803628,1652396
1360066,1803827,1652312
1360125,1803900,1651347
1360077,1804045,1651477
1360143,1804167,1651519
1360016,1803924,1651299
1360380,1803930,1651651
1360411,1803602,1651061
1360190,1803330,1651155
1360313,1803338,1651841
1360403,1803372,1651620
1360302,1803005,1652387
1360031,1802981,1651813
1360373,1802294,1652018
1360166,1802325,1651610
1360300,1802097,1651076
1359904,1802483,1652167
1360435,1803033,1652081
1360421,1802765,1652698
1360471,1802605,1652422
1360696,1803043,1653135
1360753,1803279,1653274
1361258,1803185,1653773
1360914,1803263,1654321
1360695,1802874,1654115
1360810,1803104,1653063
1360833,1803177,1652988
1360829,1803470,1653371
1360945,1803142,1653209
1360929,1803116,1653702
1361279,1802879,1653823
1361302,1803110,1654013
1361137,1802246,1654286
1361499,1803393,1654359
1361464,1802427,1655132
1361234,1802090,1654819
1361078,1801632,1654691
1360763,1801382,1653453
1360910,1800782,1653825
1360911,1800567,1653166
1361072,1801030,1653538
1360901,1800538,1653961
1360724,1800694,1653769
1361038,1800021,1652777
1360864,1800045,1653439
1361025,1800677,1653195
1360961,1801129,1653603
1360965,1801394,1652358
1361053,1802053,1652329
1360916,1802296,1652222
1361043,1802826,1651467
1360835,1802795,1652793
