GREEN,RED,IR
1772182,1439044,1852075
1771905,1439010,1851701
1771966,1438792,1850557
1771997,1438426,1851324
1771723,1438311,1852725
1772020,1438764,1851919
1772209,1438592,1852156
1772560,1439020,1852010
1772595,1439143,1852106
1772745,1438863,1853253
1773090,1439158,1854444
1773232,1438804,1854871
1772844,1438899,1854203
1773293,1438663,1854798
1773350,1438932,1854655
1773079,1438865,1854477
1773019,1438738,1855370
1773365,1438579,1854823
1773438,1438219,1855348
1773775,1438075,1855058
1773793,1437861,1855151
1773563,1437556,1855382
1773269,1437799,1855930
1773653,1437799,1857780
1773490,1437971,1857762
1774138,1438703,1857887
1773895,1438907,1858030
1774066,1438621,1858910
1774190,1439266,1857603
1774680,1438833,1858626
1774353,1439145,1858299
1774253,1439030,1859796
1774412,1439285,1859049
1774653,1439322,1861059
1774546,1439137,1860931
1774603,1439253,1862949
1774869,1439309,1861939
1775212,1439640,1862444
1775079,1439671,1863859
1775493,1439616,1863809
1775658,1440092,1863132
1775905,1439757,1863023
1775399,1440042,1863500
1775613,1440214,1863089
1775199,1440522,1861212
1775594,1440770,1860052
1775648,1440969,1859630
1776053,1440956,1859494
1775671,1440822,1860431
1775798,1439994,1859184
1775416,1437877,1858328
1775351,1436672,1858479
1775458,1437270,1857877
1774900,1437338,1856427
1774664,1437647,1858087
1774721,1438242,1856677
1774266,1438766,1856872
1774714,1438995,1857127
1774564,1439216,1856930
1774800,1439417,1855619
1774696,1439745,1857953
1775154,1440118,1856298
1775396,1440630,1857826
1775266,1440590,1855962
1775103,1440179,1856098
1775599,1440206,1856244
1775482,1440197,1858145
1775380,1440252,1856043
1775367,1440178,1855279
1775581,1440201,1856172
1775396,1440345,1855271
1775707,1440591,1855813
1775790,1440698,1855787
1775577,1440885,1855589
1775802,1441584,1854564
1776314,1442229,1856394
1776573,1442588,1855606
1776252,1442690,1856114
1776348,1443157,1855595
1776623,1443250,1856071
1776186,1443400,1855394
1776387,1443976,1857256
1776829,1443944,1856055
1776843,1444102,1857124
1776749,1444645,1857493
1776815,1445143,1859065
1777292,1445528,1858552
1777185,1446015,1859406
1777166,1446937,1858373
1777620,1447062,1859557
1777615,1446624,1861196
1777706,1446571,1860313
1777865,1446383,1861231
1777613,1445768,1860979
1777197,1445434,1861581
1777197,1444302,1862361
1777070,1443666,1862692
1777207,1442564,1862539
1777531,1440370,1862891
1777466,1439837,1862416
1777549,1440429,1863231
1777467,1440836,1863726
1777586,1441025,1864556
1777483,1441184,1865249
1777585,1441250,1866621
1777492,1441674,1865798
1777412,1441915,1867086
1777936,1441791,1866941
1777757,1441918,1865981
1778154,1441907,1865963
1777986,1441817,1867331
1778460,1442068,1866666
1778450,1442012,1867889
1778284,1442241,1868904
1778953,1442864,1867814
1778707,1443036,1867871
1778850,1443222,1867841
1778814,1443761,1867645
1778284,1444158,1867929
1778336,1444351,1868517
1778476,1444685,1869109
1778691,1444713,1868355
1778670,1444864,1867474
1778671,1444890,1868298
1778588,1444978,1867535
1778763,1445285,1866495
1778784,1445362,1865690
1779185,1445560,1865525
1779030,1445919,1865062
1779298,1446206,1865033
1779467,1446244,1863933
1779172,1446593,1865672
1779195,1446731,1865452
1779026,1447029,1863986
1778781,1447505,1863722
1778969,1447522,1863239
1778969,1447620,1864071
1779017,1447617,1863322
1779104,1447901,1863796
1779307,1447945,1863619
1779252,1447895,1865418
1779063,1448012,1865414
1779441,1448437,1865454
1779529,1448594,1866188
1779712,1448851,1865674
1779559,1448766,1866907
1779552,1448590,1866834
1779381,1448703,1866131
1779543,1449144,1865821
1779825,1449292,1865808
1780318,1449433,1866206
1780180,1449448,1865908
1780453,1449233,1865839
1780322,1449206,1864630
1780238,1449097,1864301
1780181,1448731,1864625
1780081,1448339,1864301
1779511,1447353,1864728
1779511,1446398,1864792
1779694,1444898,1864792
1779869,1443972,1864703
1779737,1442941,1865419
1779595,1441561,1865507
1779677,1441144,1865564
1779735,1440539,1865321
1779710,1440545,1865230
1779846,1440853,1864122
1779982,1440788,1863811
1780093,1440825,1865432
1780027,1440593,1865684
1780104,1440966,1864950
1780174,1440797,1865737
1780391,1440974,1865531
1780732,1440982,1865280
1780264,1440872,1865010
1780335,1440853,1864752
1780529,1441072,1865131
1780775,1441026,1866293
1780591,1441662,1866924
1780409,1441888,1866894
1780409,1442123,1867029
1780276,1442242,1866398
1780466,1442285,1866589
1780346,1442249,1866705
1780348,1442091,1867911
1780664,1441918,1868301
1780625,1442241,1867884
1780799,1442079,1868048
1780592,1441946,1868306
1781083,1441544,1868185
1781014,1441542,1867905
1781541,1442376,1870620
1782185,1442615,1871198
1781785,1442730,1869722
1781862,1443091,1868916
1781806,1442987,1869660
1781941,1443293,1870053
1781505,1443629,1870681
1781330,1443969,1871053
1781920,1443953,1870226
1781587,1444093,1870372
1781977,1444554,1870572
1781952,1444934,1869486
1782346,1445685,1868419
1782729,1445715,1867644
1782520,1445888,1867403
1782527,1446593,1866194
1782143,1446737,1865659
1782128,1446948,1866463
1782367,1447263,1865361
1782054,1447511,1865145
1782098,1447891,1866041
1782389,1447818,1865352
1782451,1447724,1865092
1782468,1447284,1865521
1781915,1445185,1866106
1781817,1442388,1865697
1782084,1440760,1865665
1781748,1440152,1866012
1781934,1440524,1866181
1782311,1440682,1866558
1782322,1440523,1866731
1782348,1441025,1867018
1782059,1441092,1866398
1782127,1441187,1866962
1782104,1441158,1866195
1781899,1441122,1866138
1782282,1441642,1865622
1782290,1442252,1866361
1782569,1442458,1868090
1782631,1442197,1865993
1782645,1442164,1867719
1782826,1442153,1868126
1782885,1442094,1867007
1783118,1442370,1867078
1782793,1442596,1867524
1782514,1442412,1867351
1782753,1443053,1867136
1783076,1443820,1868725
1782965,1444293,1868845
1783157,1444915,1867832
1783090,1445546,1868966
1783120,1445638,1869268
1783450,1445683,1869962
1783576,1445454,1869226
1783419,1445426,1870206
1783583,1445747,1870280
1784014,1445523,1870786
1783532,1445666,1869561
1783820,1445685,1869662
1783773,1445557,1871172
1783678,1445837,1869675
1783794,1445869,1871600
1784257,1446091,1870534
1784291,1446297,1870605
1784388,1446962,1869933
1784531,1447089,1870047
1784007,1445664,1870575
1783953,1445174,1871129
1784206,1444307,1871237
1784094,1443310,1871796
1783834,1441514,1872145
1783727,1440768,1871575
1783980,1440009,1872185
1784046,1439842,1873146
1784095,1439851,1870991
1783973,1439331,1871882
1783877,1439451,1871602
1783703,1439755,1872372
1784164,1439784,1873516
1784517,1440133,1871715
1784430,1439879,1873136
1784221,1440021,1872092
1784210,1439935,1872441
1784302,1440279,1871111
1784359,1440094,1872024
1784413,1440748,1871581
1784274,1440871,1872629
1784274,1440922,1871422
1784112,1441090,1871425
1784345,1441357,1871024
1784259,1441408,1871831
1784322,1441471,1870139
1784503,1441128,1871458
1784493,1441086,1871087
1784408,1441535,1871058
1784508,1441122,1869499
1784521,1441376,1870427
1784306,1441060,1871082
1784394,1441021,1870842
1784364,1440888,1870146
1784333,1441197,1872006
1784675,1441193,1870960
1785022,1441362,1872257
1784700,1441396,1871301
1784658,1441569,1870991
1784737,1441721,1871936
1784995,1442093,1872856
1785145,1442295,1873945
1785036,1442698,1872653
1784873,1442703,1873940
1784873,1442905,1874736
1785139,1443062,1875198
1785128,1443031,1875525
1785065,1443143,1875988
1785059,1443178,1875908
1785069,1442993,1878079
1785330,1443410,1878089
1785300,1443594,1879093
1785481,1443400,1877753
1785587,1443650,1878554
1785688,1443561,1877698
1785401,1443409,1878391
1785467,1443378,1878088
1785309,1443612,1879274
1785789,1443558,1879216
1786217,1443590,1879673
1786371,1443583,1879022
1786587,1443154,1879069
1786567,1443219,1879093
1786206,1443259,1879576
1786492,1443409,1880765
1786120,1443733,1880822
1786120,1443649,1882255
1785857,1443937,1881759
1786055,1443831,1885515
1786366,1443893,1885317
1786224,1443663,1887911
1786422,1443608,1890664
1786382,1443815,1890906
1786713,1443630,1891972
1786610,1443858,1892541
1786996,1443168,1893247
1786364,1440693,1894299
1786263,1438257,1894299
1786388,1436764,1894005
1786817,1436006,1894845
1786805,1436250,1895362
1787057,1435967,1896467
1786628,1436106,1897215
1786995,1436042,1898452
1786895,1436450,1900265
1786877,1436356,1899352
